Chosen_category,Complaint Description,Predicted category 1,Predicted category 2,Predicted category 3
Proper electric supply to municipal properties,Hi I am Martin resident of Rose garden 7 cross and I am facing the problems of street dogs which is very dangerous. My child has been bitten by the dog please do something.,Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property
Drainage chokes and blockages,Jogupalya indiragandhi street no proper rain water drain  rain its comes its water over flowed in road please solve this problem.,Drainage chokes and blockages,Overflowing drains or manholes,"Removal of silt from nalla across culverts, etc."
Repairs to pipe sewers main sewers,Dear sir  Our area is ookadappapapalyam vivek nagar.agaram ward. Our public toilet is very bad condion becase lack of bbmp maintens.,Repairs to pipe sewers main sewers,Drainage chokes and blockages,Minor repairs to municipal property
Silt to be lifted on road,We live in Muneshwara Layout  Ayyappa Nagar  K R puram  Bangalore - 36 . Its been 15 days that the Pourakarmika team have not picked up garbage in our area. People have started dumping garbage in an around the layout in vacant sites. This has increased Mosquito\'s and creating Foul smell.,Silt to be lifted on road,Garbage not lifted from house gully,Odour  foul smell  from drains
Unauthorised Food Selling   Preparation,By the closure of intermediate road from nandini theatre joining west of chord road after the Rajajinagar 1st block fly over towards Mahalakshmi metro station.  It can be noticed that there is a huge traffic jam when vehicles go down from the flyover and there r two intermediate roads join from left. By closing this the bottle neck can be avoided. Also the vehicles coming from intermediate road can use the service road and join the main road at the junction of Mahalakshmi metro station.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Municipal Land - Road   Footpath   Strom Water Drain,This is just before Shahi exports entrance,Municipal Land - Road   Footpath   Strom Water Drain,Removal of Debris,"Unauthorised stalls on roads, footpath or SWD drain"
Bad Patches,I\'ve seen heavy to very heavy vehicles plying on all the roads across the city. Surprisingly they are 16 wheel trucks which are of the size of 4 cars. Moreover  they cause much more pollution. I request traffic police to come down strictly on such trucks and follow proper rules on their entry and exit time inside the city limits. It seems currently there is no rule made for such heavy vehicles.,Bad Patches,Person falling in Manhole,Municipal Land - Road   Footpath   Strom Water Drain
Unauthorised Food Selling   Preparation,The child play playground equipment are in bad condition.  The same need to be replaced / repaired to help children spend their quality time in the playground which is opposite Benhur School  Williams Town Extn.,Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain
Bad Patches,The Haris Road Bus Stop was shifted a little further to BWSSB Office.  The Shelter is yet to be fixed.,Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Person falling in Manhole
Flooding during monsoon,Where ever we go in bengaluru traffic police  they will not control traffic and hiding behind they will caught public running on public are like thief\'s. and they serve politicians very good  I think traffic police is for politicians. not public.,Flooding during monsoon,Pre-monsoon works halted,Drainage chokes and blockages
Unauthorised construction development,The point where the elevated expressway ends ( near silk board end)  there is a sudden dip in the road level. Due to this lots of vehicles suddenly slow down leading to accidents. Kindly help fix this asap.,Unauthorised construction development,Drainage chokes and blockages,Mosquito nuisance
Bad Patches,The entire silk board flyover needs to be tarred immediately. The end points of the flyover are in terrible shape.,Bad Patches,Drainage chokes and blockages,Municipal Land - Road   Footpath   Strom Water Drain
Drainage chokes and blockages,The joints on the Silk Board flyover are opening up due to which there is a big bang to all the vehicles that pass over each joint. Request to fix the issue ASAP.,Drainage chokes and blockages,Bad Patches,Overflowing drains or manholes
Bad Patches,A modern bus shelter put up 4 yrs ago on 8th main Malleswaram close to 12th cross for buses from YPR side to KBS was never used for halting as there exists one in between 12th and 13th crosses. This shelter got a face lift to recently. Today it has lost everything ex granite stone for seat  ads  lights  etc. The building under construction at this place uses this location for dumping all sorts of constn. materials as nobody is bothered about the misuse. Why can\'t this shelter be shifted to any other location just opposite where buses towards YPR do stop regularly. Now Lakhs have been lost due to the selection for shelter without thought / consultation.,Bad Patches,Minor repairs to municipal property,Person falling in Manhole
Bad Patches,The layout right next to GR Tech park on ITPL Whitefield Main Road has been living with a Mud Road for more than 8 years. Lately  one of the roads was tarred half way and the rest of the road along with the cross roads were left as is.There are big potholes  stones  heaps of debris and loose mud lying everywhere on the roads. The whole area is uneven. Nothing has been done to fix these issues in the last years. The road is left in a more worse condition after any repair work/ digging is done. These areas seem like orphaned areas with no one to care about the basic civic necessities of a decent road. Forget the elderly and children  NO ONE can walk on these roads. There is continuous traffic on these roads that makes the atmosphere very dusty and dangerous. There are no footpaths  no trees. During rains all the roads become like a huge piece of slush that people have to wade through on foot  unless they have a vehicle. Its high time to fix this prolonged issue.,Bad Patches,Major repairs to municipal property,Odour  foul smell  from drains
Municipal Land - Road   Footpath   Strom Water Drain,On 10th main road  there is cosmopolitan club situated & at evening time  you can see all sorts of SUVS parked in front of club  all SUVS/cars are from people visiting club! in spite of no parking sign still cars are parked freely! hope traffic police wakes up & fines offenders as due to this hapazard parking traffic is blocked severely in evening.,Municipal Land - Road   Footpath   Strom Water Drain,Hawkers,"Unauthorised stalls on roads, footpath or SWD drain"
